from;to;arrows;dashes
CI1107;CI1106;to;FALSE
FI1101;MA1102;;TRUE
FI1201;FI1101;;TRUE
ID1104;ID1101;to;FALSE
ID1104;ID1103;to;FALSE
ID1119;ID1118;to;FALSE
ID1206;ID1205;to;FALSE
MA1102;MA0101;to;FALSE
FI2103;FI1101;to;FALSE
FI2103;MA1102;to;FALSE
ID2120;ID1119;to;FALSE
ID2207;ID1206;to;FALSE
ID2301;FI1101;to;FALSE
ID2401;ID1104;to;FALSE
ID2107;ID2207;to;FALSE
ID2107;ID2401;to;FALSE
ID2107;ID2108;;TRUE
ID2107;ID2302;;TRUE
ID2108;ID1104;to;FALSE
ID2108;ID2120;to;FALSE
ID2302;ID2301;to;FALSE
ID2302;QU1902;to;FALSE
MA2117;ID2207;to;FALSE
MA2117;MA1102;to;FALSE
CI1230;CI0200;to;FALSE
CI1230;CI0202;to;FALSE
ID2204;CA2125;to;FALSE
ID3109;FI2103;to;FALSE
ID3109;ID2107;to;FALSE
ID3109;ID3110;;TRUE
ID3109;ID3303;;TRUE
ID3110;ID2108;to;FALSE
ID3303;ID2302;to;FALSE
PI2608;MA1102;to;FALSE
CI1231;CI1230;to;FALSE
ID3111;ID2204;to;FALSE
ID3111;ID3109;to;FALSE
ID3113;ID2107;to;FALSE
ID3112;ID3110;to;FALSE
ID3205;ID2120;to;FALSE
ID3304;ID2108;to;FALSE
AE3414;PI2608;to;FALSE
AE5121;PI2608;to;FALSE
CS3401;CS1502;to;FALSE
ID4501;ID3111;to;FALSE
ID4501;ID3205;to;FALSE
ID4601;ID2204;to;FALSE
ID4601;ID3112;to;FALSE
CS4402;CS3401;to;FALSE
ID4503;ID4501;to;FALSE
ID4503;ID4601;to;FALSE
CE5507;CA2125;to;FALSE
ID5604;ID3112;to;FALSE
ID5605;ID4503;to;FALSE
ID5606;ID5605;;TRUE
ID5114;ID5115;;TRUE
ID5115;ID5114;;TRUE
ID5115;ID5605;to;FALSE
ID5516;ID5604;to;FALSE
ID5602;ID5516;;TRUE
ID5611;ID5605;to;FALSE
ID5611;ID5606;to;FALSE
